name,longitude,latitude,LSOA11CD,LSOA11NM
,-0.1578919,51.5159824,E01004657,Westminster 012A
Premier Inn Wandsworth,-0.1924957,51.455094,E01004513,Wandsworth 018B
,-0.0435378,51.5106126,E01004303,Tower Hamlets 025D
Crawford Suites Serviced Apartments,-0.1665234,51.5179144,E01004663,Westminster 012E
Austin Rudd,-0.1687112,51.5191833,E01004661,Westminster 012C
Best Western Plus London Wembley,-0.2912121,51.5534724,E01000635,Brent 020D
"The Standard, London",-0.1243303,51.5294697,E01000942,Camden 025D
Maitrise Suites,-0.3222279,51.5106234,E01001249,Ealing 028A
The Standard London,-0.1218561,51.529301,E01000939,Camden 024C
Maison de l’institut de France à Londres,-0.1811058,51.4989555,E01002891,Kensington and Chelsea 010D
